Time (s),Altitude (m),Velocity (m/s),Reference (m),Position Error (m),Integral Error,Action,Thrust (N),PWM
12.075522661209106,1.0120849609375,0.018357334658503532,1.0,-0.0120849609375,1.3197627118974886,0.79673463,0.5390204191207886,51836
12.086501836776733,1.0122672319412231,0.017965365201234818,1.0,-0.012267231941223145,1.3196400395780763,0.79849076,0.5395472645759583,51860
12.097304105758667,1.0127484798431396,0.020211895927786827,1.0,-0.012748479843139648,1.319512554779645,0.782696,0.5348088145256042,51647
12.108161687850952,1.0129529237747192,0.02066657692193985,1.0,-0.012952923774719238,1.3193830255418977,0.77894354,0.5336830615997314,51596
12.118856191635132,1.0131551027297974,0.0196953434497118,1.0,-0.013155102729797363,1.3192514745145998,0.7845375,0.5353612899780273,51672
12.129419803619385,1.013351321220398,0.019364522770047188,1.0,-0.01335132122039795,1.3191179613023958,0.7859416,0.535782516002655,51691
12.140148401260376,1.0133988857269287,0.017615782096982002,1.0,-0.013398885726928711,1.3189839724451264,0.7967038,0.5390111804008484,51836
12.150928974151611,1.0135709047317505,0.01660347729921341,1.0,-0.013570904731750488,1.318848263397809,0.80223536,0.54067063331604,51911
12.161698818206787,1.0137336254119873,0.015812618657946587,1.0,-0.013733625411987305,1.318710927143689,0.8063614,0.5419084429740906,51966
12.17246389389038,1.0138814449310303,0.014257221482694149,1.0,-0.013881444931030273,1.3185721126943786,0.8148196,0.5444458723068237,52080
12.18338418006897,1.0136065483093262,0.010954144410789013,1.0,-0.013606548309326172,1.3184360472112853,0.83332837,0.5499985218048096,52330
12.194252729415894,1.0137782096862793,0.00641914177685976,1.0,-0.013704538345336914,1.318299001827832,0.8447415,0.5534225106239319,52484
12.205160140991211,1.0138367414474487,0.005284016020596027,1.0,-0.01383674144744873,1.3181606344133574,0.85961926,0.5578858256340027,52685
12.216143369674683,1.0138798952102661,0.0033573394175618887,1.0,-0.013879895210266113,1.3180218354612547,0.86770177,0.5603105425834656,52794
12.227126121520996,1.012726902961731,-0.003851530607789755,1.0,-0.012726902961730957,1.3178945664316375,0.8966246,0.5689873695373535,53185
12.238120079040527,1.0126829147338867,-0.004896505735814571,1.0,-0.012682914733886719,1.3177677372842986,0.9000522,0.5700156688690186,53231
12.249156951904297,1.01262629032135,-0.006532495841383934,1.0,-0.012626290321350098,1.3176414743810851,0.9052041,0.5715612173080444,53301
12.259984016418457,1.0125571489334106,-0.00732045341283083,1.0,-0.012557148933410645,1.3175159028917511,0.9076406,0.5722922086715698,53333
12.270960330963135,1.0110533237457275,-0.01616784930229187,1.0,-0.011053323745727539,1.3174053696542938,0.9322905,0.5796871781349182,53666
12.281870365142822,1.010881781578064,-0.018139954656362534,1.0,-0.010881781578063965,1.3172965518385131,0.9366602,0.5809980630874634,53725
12.292790174484253,1.010701298713684,-0.01795433834195137,1.0,-0.010701298713684082,1.3171895388513764,0.93644875,0.5809346437454224,53722
12.303701877593994,1.0122007131576538,-0.008505934849381447,1.0,-0.010521173477172852,1.3170843271166046,0.9365266,0.5809580087661743,53723
12.314918041229248,1.0121160745620728,-0.008413092233240604,1.0,-0.012116074562072754,1.316963166370984,0.9113311,0.5733993649482727,53383
12.32601547241211,1.012034296989441,-0.00794103741645813,1.0,-0.012034296989440918,1.3168428234010896,0.9100661,0.5730198621749878,53366
12.337008476257324,1.01195228099823,-0.008457516320049763,1.0,-0.01195228099822998,1.3167233005911072,0.91163576,0.5734907388687134,53387
12.347872734069824,1.011867880821228,-0.008415622636675835,1.0,-0.011867880821228027,1.3166046217828948,0.9116098,0.5734829902648926,53387
12.358816385269165,1.0146775245666504,0.006885875016450882,1.0,-0.01467752456665039,1.3164578465372283,0.84970224,0.5549107193946838,52551
12.369731426239014,1.014751672744751,0.00793528649955988,1.0,-0.014751672744750977,1.3163103298097807,0.8444727,0.553341805934906,52481
12.380662441253662,1.0148371458053589,0.00914357602596283,1.0,-0.014837145805358887,1.316161958351727,0.8382554,0.5514766573905945,52397
12.391543865203857,1.0149226188659668,0.008449682034552097,1.0,-0.014922618865966797,1.3160127321630672,0.84140944,0.5524228811264038,52439
12.402451276779175,1.015035629272461,0.00867327582091093,1.0,-0.015035629272460938,1.3158623758703427,0.8399529,0.5519859194755554,52420
